tenure,MonthlyCharges,TotalCharges,Contract,InternetService
17,19.95,310.6,One year,No
62,24.8,1476.25,One year,No
1,72.1,72.1,Month-to-month,Fiber optic
13,74.65,966.25,One year,Fiber optic
10,74.75,799.65,Month-to-month,Fiber optic
4,50.85,239.55,Month-to-month,DSL
10,20.35,176.3,One year,No
42,94.2,4186.3,Month-to-month,Fiber optic
1,19.95,19.95,Month-to-month,No
67,87.4,5918.8,One year,Fiber optic
62,20.05,1263.9,Two year,No
18,93.9,1743.9,Month-to-month,Fiber optic
12,84.6,1017.35,Month-to-month,Fiber optic
9,50.1,484.05,Month-to-month,DSL
72,25.75,1864.2,Two year,No
59,20.2,1192.3,Two year,No
30,79.3,2427.1,One year,DSL
70,98.9,6838.6,One year,Fiber optic
69,20.15,1337.5,Two year,No
47,20.05,1016.7,Two year,No
12,59.8,727.8,One year,DSL
42,84.3,3588.4,Month-to-month,Fiber optic
59,99.5,5961.1,One year,Fiber optic
45,102.15,4735.35,One year,Fiber optic
10,70.3,738.2,Month-to-month,Fiber optic
49,78.0,3824.2,One year,DSL
58,25.15,1509.9,Two year,No
21,60.05,1236.15,Month-to-month,DSL
7,75.35,564.65,Month-to-month,Fiber optic
28,54.4,1516.6,One year,DSL
32,104.9,3351.55,Month-to-month,Fiber optic
46,101.1,4674.4,One year,Fiber optic
12,96.05,1148.1,Month-to-month,Fiber optic
9,89.45,853.1,Month-to-month,Fiber optic
11,73.85,926.25,Month-to-month,Fiber optic
2,20.35,33.2,Month-to-month,No
2,85.85,167.3,Month-to-month,Fiber optic
54,110.35,5893.15,One year,Fiber optic
24,94.6,2283.15,Month-to-month,Fiber optic
3,69.85,199.85,Month-to-month,Fiber optic
1,45.75,45.75,Month-to-month,DSL
41,68.5,2839.95,One year,DSL
39,55.9,2184.35,Month-to-month,DSL
6,19.45,113.5,One year,No
42,22.95,1014.25,Two year,No
32,100.4,3217.65,Month-to-month,Fiber optic
2,51.55,106.2,Month-to-month,DSL
59,64.05,3886.85,Two year,DSL
1,80.8,80.8,Month-to-month,Fiber optic
15,19.8,272.95,Month-to-month,No
10,21.2,222.65,Month-to-month,No
7,69.85,515.45,Month-to-month,Fiber optic
23,79.35,1835.3,Month-to-month,Fiber optic
69,19.95,1399.35,Two year,No
23,75.4,1643.55,Month-to-month,Fiber optic
40,80.75,3208.65,One year,DSL
6,80.25,493.4,Two year,DSL
46,93.7,4154.8,Month-to-month,Fiber optic
68,19.35,1292.65,Two year,No
41,109.1,4454.25,One year,Fiber optic
39,41.15,1700.9,One year,DSL
21,54.6,1125.2,Month-to-month,DSL
37,70.35,2552.9,Month-to-month,Fiber optic
60,99.65,5941.05,Two year,Fiber optic
36,92.9,3379.25,Two year,DSL
35,106.9,3756.45,Month-to-month,Fiber optic
72,99.9,7251.7,Two year,Fiber optic
72,89.05,6254.45,Two year,DSL
7,69.35,451.1,Month-to-month,Fiber optic
1,70.6,70.6,Month-to-month,Fiber optic
66,19.7,1253.8,Two year,No
31,99.45,3109.9,Two year,Fiber optic
7,93.85,635.6,Month-to-month,Fiber optic
2,70.2,115.95,Month-to-month,Fiber optic
54,94.75,5121.75,One year,Fiber optic
1,24.05,24.05,Month-to-month,No
71,73.35,5154.5,Two year,DSL
4,20.7,73.05,Month-to-month,No
3,79.4,244.65,Month-to-month,Fiber optic
17,64.7,1093.1,Month-to-month,DSL
52,79.75,4217.8,Two year,DSL
2,20.3,31.9,One year,No
14,105.95,1348.9,One year,Fiber optic
10,70.3,676.15,One year,DSL
2,20.25,36.8,Month-to-month,No
57,59.6,3509.4,One year,DSL
13,70.45,849.1,Month-to-month,Fiber optic
64,102.1,6688.1,One year,Fiber optic
57,41.1,2258.25,One year,DSL
71,76.05,5436.45,Two year,Fiber optic
1,70.6,70.6,Month-to-month,Fiber optic
1,75.1,75.1,Month-to-month,Fiber optic
1,44.6,44.6,Month-to-month,DSL
53,95.85,5016.25,One year,Fiber optic
1,60.15,60.15,Month-to-month,DSL
60,97.95,5867,One year,Fiber optic
1,45.0,45,Month-to-month,DSL
16,81.0,1312.15,Month-to-month,Fiber optic
70,19.7,1341.5,One year,No
66,89.0,5898.6,One year,Fiber optic
25,79.85,2015.35,Month-to-month,Fiber optic
1,19.15,19.15,Month-to-month,No
37,67.45,2443.3,One year,DSL
1,19.45,19.45,Month-to-month,No
4,79.15,317.25,Month-to-month,Fiber optic
3,44.6,122.7,Month-to-month,DSL
29,66.1,1912.15,Month-to-month,DSL
61,75.35,4729.3,Two year,DSL
72,116.75,8277.05,Two year,Fiber optic
68,103.25,7074.4,Two year,Fiber optic
1,20.15,20.15,Month-to-month,No
51,19.55,1086.75,Two year,No
8,103.35,847.3,Month-to-month,Fiber optic
69,110.05,7430.75,Two year,Fiber optic
14,19.35,324.8,One year,No
62,101.35,6164.7,Month-to-month,Fiber optic
50,83.4,4113.7,Month-to-month,Fiber optic
71,84.8,6046.1,One year,DSL
38,62.3,2354.8,One year,DSL
58,98.7,5812.6,Month-to-month,Fiber optic
48,24.35,1133.7,One year,No
2,40.4,77.15,Month-to-month,DSL
29,60.2,1834.15,Month-to-month,DSL
66,58.2,3810.8,Two year,DSL
66,104.05,6890,One year,Fiber optic
54,46.0,2424.05,Two year,DSL
66,59.75,3996.8,Two year,DSL
18,20.1,401.85,One year,No
2,34.7,62.25,Month-to-month,DSL
3,19.6,61.35,One year,No
1,25.1,25.1,Month-to-month,DSL
1,19.0,19,Month-to-month,No
49,85.3,4297.95,Month-to-month,Fiber optic
72,85.9,6110.75,Two year,DSL
2,44.5,90.05,Month-to-month,DSL
11,20.55,184.95,One year,No
3,19.3,54.7,Month-to-month,No
33,88.6,2888.7,Month-to-month,Fiber optic
8,25.5,215.2,Month-to-month,DSL
63,98.0,6218.45,Two year,Fiber optic
11,20.1,221.35,Month-to-month,No
36,40.65,1547.35,Two year,DSL
8,94.75,759.55,Month-to-month,Fiber optic
10,34.7,329.8,Month-to-month,DSL
3,75.1,270.7,Month-to-month,Fiber optic
29,68.85,1970.5,Month-to-month,DSL
64,53.85,3399.85,One year,DSL
50,108.25,5431.4,One year,Fiber optic
1,69.75,69.75,Month-to-month,Fiber optic
7,75.15,496.9,Month-to-month,Fiber optic
14,51.45,727.85,One year,DSL
1,70.6,70.6,Month-to-month,Fiber optic
3,70.3,235.5,Month-to-month,Fiber optic
3,64.6,174.2,Month-to-month,DSL
2,75.9,143.35,Month-to-month,Fiber optic
36,35.35,1317.95,One year,DSL
68,103.75,7039.45,Two year,Fiber optic
33,83.85,2716.3,Month-to-month,Fiber optic
9,98.3,923.5,Month-to-month,Fiber optic
32,85.0,2642.05,Month-to-month,Fiber optic
22,54.2,1152.7,Month-to-month,DSL
19,89.1,1620.8,Month-to-month,Fiber optic
67,60.4,3953.7,Two year,DSL
41,19.7,804.25,Two year,No
3,85.8,272.2,Month-to-month,Fiber optic
52,19.65,1025.05,Two year,No
1,81.95,81.95,Month-to-month,Fiber optic
2,65.7,134.35,Month-to-month,DSL
2,87.15,183.75,Month-to-month,Fiber optic
8,19.35,152.6,Month-to-month,No
42,95.55,3930.6,Month-to-month,Fiber optic
13,70.15,916.75,Month-to-month,Fiber optic
8,71.15,563.65,Month-to-month,DSL
53,19.05,990.45,One year,No
15,83.2,1130,Month-to-month,Fiber optic
39,50.75,2011.4,Month-to-month,DSL
27,36.5,1032,Month-to-month,DSL
1,100.25,100.25,Month-to-month,Fiber optic
46,21.1,937.1,Two year,No
17,80.5,1336.9,Month-to-month,Fiber optic
51,19.4,997.75,One year,No
9,85.3,781.4,Month-to-month,Fiber optic
45,100.15,4459.8,One year,Fiber optic
69,105.0,7297.75,Two year,Fiber optic
57,19.75,1272.05,Two year,No
22,49.45,1031.4,One year,DSL
1,80.55,80.55,Month-to-month,Fiber optic
10,51.65,524.5,Month-to-month,DSL
32,20.05,614.45,Two year,No
16,79.95,1267.95,Month-to-month,Fiber optic
57,95.0,5535.8,One year,Fiber optic
18,19.65,391.7,Month-to-month,No
41,66.5,2728.6,One year,DSL
14,76.45,1117.55,Month-to-month,Fiber optic
9,94.75,889.9,Month-to-month,Fiber optic
13,100.8,1308.1,Month-to-month,Fiber optic
1,75.1,75.1,Month-to-month,Fiber optic
68,100.3,6754.35,One year,Fiber optic
48,20.2,1027.25,Two year,No
13,106.9,1364.3,Month-to-month,Fiber optic
2,55.1,113.35,Month-to-month,DSL
32,74.75,2282.95,One year,DSL
51,60.5,3145.15,One year,DSL
1,69.55,69.55,Month-to-month,Fiber optic
25,19.9,527.5,One year,No
14,18.8,255.55,Two year,No
30,70.25,2198.9,One year,DSL
72,117.5,8670.1,Two year,Fiber optic
56,85.6,4902.8,Month-to-month,Fiber optic
72,97.95,7114.25,Two year,Fiber optic
53,19.4,1110.35,Two year,No
3,55.9,157.55,Month-to-month,DSL
39,75.25,3017.65,Month-to-month,Fiber optic
40,101.3,4113.1,Month-to-month,Fiber optic
60,19.95,1189.9,Two year,No
68,80.65,5330.2,Two year,DSL
52,79.2,4016.3,Two year,DSL
23,40.65,947.4,One year,DSL
61,81.05,4747.65,Two year,DSL
67,19.25,1372.9,Two year,No
66,85.9,5595.3,Two year,DSL
8,24.4,203.95,One year,No
35,59.45,2136.9,Month-to-month,DSL
62,38.6,2345.55,Two year,DSL
1,83.4,83.4,Month-to-month,Fiber optic
1,20.45,20.45,Month-to-month,No
41,19.3,772.4,Two year,No
72,98.35,6929.4,Two year,Fiber optic
5,92.5,452.7,Month-to-month,Fiber optic
71,114.6,8100.25,Two year,Fiber optic
1,73.65,73.65,Month-to-month,Fiber optic
1,43.85,43.85,Month-to-month,DSL
62,26.0,1638.7,Two year,No
47,21.3,1041.8,Two year,No
16,94.45,1511.2,Month-to-month,Fiber optic
61,101.15,6383.9,One year,Fiber optic
23,19.3,486.2,One year,No
12,89.4,1095.65,Month-to-month,Fiber optic
27,80.85,2204.35,One year,DSL
38,20.25,814.75,One year,No
29,20.0,599.3,One year,No
64,25.55,1714.95,Two year,No
51,20.65,1020.75,Two year,No
51,59.9,3043.6,One year,DSL
27,49.0,1291.35,Month-to-month,DSL
5,63.95,318.1,Month-to-month,DSL
72,95.1,6843.15,Two year,Fiber optic
51,78.65,3950.85,One year,DSL
14,89.8,1129.1,Month-to-month,Fiber optic
22,55.1,1253.15,Month-to-month,DSL
41,102.6,4213.35,One year,Fiber optic
42,20.75,844.45,Two year,No
4,70.15,268.35,Month-to-month,Fiber optic
72,90.35,6563.4,Two year,Fiber optic
4,20.05,85.5,Month-to-month,No
20,60.0,1259.35,Month-to-month,DSL
22,65.25,1441.8,One year,DSL
37,104.5,3778,One year,Fiber optic
1,49.55,49.55,Month-to-month,DSL
20,98.55,1842.8,Month-to-month,Fiber optic
25,74.6,1797.75,Month-to-month,Fiber optic
4,78.45,330.05,Month-to-month,Fiber optic
72,25.55,1867.7,Two year,No
32,19.4,641.15,Month-to-month,No
59,19.5,1222.65,Two year,No
35,19.25,617.65,Month-to-month,No
53,62.85,3419.5,One year,DSL
71,79.05,5552.5,One year,Fiber optic
11,97.85,1105.4,Month-to-month,Fiber optic
52,19.85,1070.5,Two year,No
43,35.2,1463.7,One year,DSL
23,25.6,514.75,Two year,No
11,50.55,565.35,Month-to-month,DSL
28,105.7,2979.5,Month-to-month,Fiber optic
63,99.65,6311.2,One year,Fiber optic
13,59.9,788.35,Month-to-month,DSL
17,94.4,1617.5,Month-to-month,Fiber optic
3,86.05,244.85,Month-to-month,Fiber optic
4,45.65,191.05,Month-to-month,DSL
47,87.2,4017.45,Month-to-month,Fiber optic
69,59.1,4134.7,One year,DSL
3,79.1,246.5,Month-to-month,Fiber optic
11,25.0,300.7,Two year,No
8,94.45,742.95,Month-to-month,Fiber optic
4,19.0,78.9,Month-to-month,No
53,53.6,2879.2,One year,DSL
20,20.0,417.65,Month-to-month,No
5,45.4,214.75,Month-to-month,DSL
4,70.05,266.9,Month-to-month,Fiber optic
62,65.1,3846.75,Two year,DSL
44,89.15,3990.75,One year,Fiber optic
3,19.8,58.15,Month-to-month,No
72,84.2,5986.55,Two year,DSL
12,19.7,258.35,Two year,No
2,97.1,184.15,Month-to-month,Fiber optic
48,19.25,855.1,Two year,No
4,56.4,234.85,Month-to-month,DSL
34,85.35,2896.6,Month-to-month,Fiber optic
62,74.3,4698.05,One year,DSL
1,80.85,80.85,Month-to-month,Fiber optic
53,77.4,4155.95,One year,DSL
22,89.75,1938.9,Month-to-month,Fiber optic
72,73.0,5265.2,Two year,DSL
3,95.4,293.15,Month-to-month,Fiber optic
1,19.85,19.85,One year,No
67,104.0,7039.05,Two year,Fiber optic
4,64.4,253,Month-to-month,DSL
26,20.05,505.9,One year,No
2,86.0,165.45,Month-to-month,Fiber optic
2,19.95,38.15,Month-to-month,No
27,104.65,2964,One year,Fiber optic
64,54.6,3423.5,Two year,DSL
18,39.05,669.85,Month-to-month,DSL
67,79.7,5293.4,Two year,DSL
50,75.5,4025.6,One year,DSL
39,104.7,4134.85,One year,Fiber optic
4,88.45,370.65,Month-to-month,Fiber optic
11,104.05,1133.65,Month-to-month,Fiber optic
2,81.5,162.55,Month-to-month,Fiber optic
16,19.3,360.35,One year,No
38,84.25,3264.5,Month-to-month,Fiber optic
72,94.45,6921.7,Two year,Fiber optic
19,39.7,710.05,Month-to-month,DSL
1,20.05,20.05,Month-to-month,No
42,73.15,3088.25,One year,DSL
8,44.55,343.45,Two year,DSL
56,19.8,1119.9,Two year,No
62,71.4,4487.3,One year,DSL
2,53.45,119.5,Month-to-month,DSL
35,75.2,2576.2,Month-to-month,Fiber optic
30,19.8,576.65,One year,No
59,90.3,5194.05,Two year,DSL
65,108.05,7118.9,One year,Fiber optic
62,100.15,6413.65,One year,Fiber optic
40,61.9,2647.1,Month-to-month,DSL
24,99.65,2404.85,Month-to-month,Fiber optic
15,88.15,1390.6,Month-to-month,Fiber optic
35,61.0,2130.45,Month-to-month,DSL
51,85.5,4421.95,Two year,DSL
21,36.0,780.15,Month-to-month,DSL
66,90.05,5965.95,Two year,DSL
71,82.0,5999.85,Two year,DSL
57,100.6,5611.7,Month-to-month,Fiber optic
2,49.25,91.1,Month-to-month,DSL
6,80.8,457.1,Month-to-month,Fiber optic
46,19.4,967.85,Two year,No
25,75.5,1901.05,Month-to-month,Fiber optic
2,20.05,33.7,Month-to-month,No
25,89.1,2368.4,Month-to-month,Fiber optic
37,28.6,973.55,Month-to-month,DSL
33,104.4,3409.6,Month-to-month,Fiber optic
16,19.75,284.35,Two year,No
9,95.9,827.45,Month-to-month,Fiber optic
1,45.3,45.3,Month-to-month,DSL
4,20.4,94.5,Month-to-month,No
35,91.5,3236.35,Month-to-month,Fiber optic
37,19.8,695.05,One year,No
56,110.5,6139.5,One year,Fiber optic
27,19.4,460.25,Month-to-month,No
38,20.4,743.5,Two year,No
16,35.5,552.7,Month-to-month,DSL
65,105.5,6985.65,Month-to-month,Fiber optic
14,59.1,772.85,One year,DSL
5,89.5,477.7,Month-to-month,Fiber optic
72,106.3,7565.35,Two year,Fiber optic
4,50.7,214.55,Month-to-month,DSL
20,54.0,1055.9,One year,DSL
57,20.1,1087.7,Two year,No
65,94.55,6078.75,Two year,Fiber optic
4,85.65,321.65,Month-to-month,Fiber optic
32,19.75,624.15,One year,No
45,19.2,903.7,Two year,No
22,83.05,1799.3,Month-to-month,Fiber optic
34,88.85,3000.25,Month-to-month,Fiber optic
47,86.95,4138.9,One year,DSL
18,20.05,388.6,Two year,No
1,79.6,79.6,Month-to-month,Fiber optic
6,44.7,276.5,Month-to-month,DSL
36,34.85,1267.2,Month-to-month,DSL
35,73.45,2661.1,One year,DSL
25,88.95,2291.2,Month-to-month,Fiber optic
5,51.35,262.3,Month-to-month,DSL
4,48.25,202.25,Month-to-month,DSL
47,58.9,2813.05,One year,DSL
52,39.9,2020.9,Month-to-month,DSL
4,20.85,62.9,Month-to-month,No
68,53.0,3656.25,Two year,DSL
21,20.5,429.55,One year,No
64,104.4,6721.6,One year,Fiber optic
1,80.25,80.25,Month-to-month,Fiber optic
2,66.4,94.55,Month-to-month,DSL
55,85.1,4600.95,Month-to-month,Fiber optic
72,105.25,7609.75,Two year,Fiber optic
1,24.4,24.4,Month-to-month,DSL
12,100.15,1164.3,Month-to-month,Fiber optic
59,101.1,6039.9,Month-to-month,Fiber optic
63,103.4,6603,Month-to-month,Fiber optic
10,24.4,253.9,Month-to-month,No
24,24.7,571.75,Two year,No
65,104.1,6700.05,Two year,Fiber optic
20,68.9,1370.35,Month-to-month,DSL
48,60.6,2985.25,One year,DSL
62,80.4,4981.15,Month-to-month,DSL
6,19.5,106.8,Month-to-month,No
24,54.8,1291.3,Month-to-month,DSL
34,60.85,2003.6,Month-to-month,DSL
46,33.7,1537.85,One year,DSL
26,45.45,1233.15,Month-to-month,DSL
19,24.85,434.8,Month-to-month,DSL
24,54.6,1242.25,One year,DSL
57,101.3,5779.6,Two year,Fiber optic
68,19.6,1441.65,Two year,No
12,74.15,741.4,Month-to-month,DSL
12,76.6,893,Month-to-month,Fiber optic
40,50.85,2036.55,Month-to-month,DSL
23,86.8,1975.85,Month-to-month,Fiber optic
4,70.4,281,Month-to-month,Fiber optic
67,50.55,3431.75,One year,DSL
35,62.15,2215.45,One year,DSL
10,86.65,856.65,Month-to-month,Fiber optic
6,20.4,107.6,Two year,No
10,85.25,855.3,Month-to-month,Fiber optic
17,95.65,1640,Month-to-month,Fiber optic
65,93.55,6069.25,One year,Fiber optic
2,89.5,161.5,Month-to-month,Fiber optic
49,96.2,4718.25,Month-to-month,Fiber optic
51,107.45,5680.9,One year,Fiber optic
72,112.25,8041.65,Two year,Fiber optic
44,68.85,2958.95,Month-to-month,Fiber optic
42,66.5,2762.75,Two year,DSL
2,24.5,46.4,Month-to-month,DSL
28,92.35,2602.9,Month-to-month,Fiber optic
34,61.25,1993.2,One year,DSL
31,79.3,2484,One year,DSL
1,19.5,19.5,Month-to-month,No
22,69.25,1554,Month-to-month,Fiber optic
2,76.5,162.45,Month-to-month,Fiber optic
72,110.6,7962.2,Two year,Fiber optic
8,51.05,415.05,Month-to-month,DSL
72,64.45,4528,Two year,DSL
17,50.3,846.8,Month-to-month,DSL
72,97.0,7104.2,Two year,Fiber optic
66,47.4,3177.25,Two year,DSL
35,75.35,2636.05,Month-to-month,Fiber optic
4,56.75,245.15,Month-to-month,DSL
72,19.7,1379.8,Two year,No
65,84.85,5459.2,Two year,DSL
69,20.2,1412.65,Two year,No
65,71.0,4386.2,Two year,DSL
38,80.3,3058.65,One year,DSL
24,93.0,2248.05,Month-to-month,Fiber optic
5,105.3,550.6,Month-to-month,Fiber optic
24,54.75,1338.15,Month-to-month,DSL
1,25.25,25.25,Month-to-month,DSL
61,107.75,6521.9,One year,Fiber optic
70,85.95,5931.75,Two year,DSL
1,25.1,25.1,Month-to-month,DSL
7,45.75,344.2,Month-to-month,DSL
1,19.95,19.95,Month-to-month,No
45,81.3,3541.1,Month-to-month,DSL
10,60.95,629.55,Month-to-month,DSL
29,70.75,1974.8,Month-to-month,Fiber optic
58,64.9,3795.45,Two year,DSL
67,20.05,1263.05,Two year,No
14,86.0,1164.05,Month-to-month,Fiber optic
45,25.5,1121.05,Two year,No
67,60.95,4119.4,One year,DSL
31,98.9,2911.3,Month-to-month,Fiber optic
2,94.0,181.7,Month-to-month,Fiber optic
37,19.85,717.5,One year,No
65,74.2,4805.65,Two year,DSL
2,95.15,196.9,Month-to-month,Fiber optic
3,29.65,90.05,Month-to-month,DSL
72,80.85,5727.45,Two year,DSL
36,20.85,720.05,One year,No
72,86.4,6058.95,Two year,DSL
19,39.65,733.35,Month-to-month,DSL
25,105.95,2655.25,Month-to-month,Fiber optic
6,20.7,112.75,Month-to-month,No
1,19.65,19.65,Month-to-month,No
59,72.1,4194.85,Two year,DSL
3,79.4,205.05,Month-to-month,Fiber optic
10,75.75,777.3,Month-to-month,Fiber optic
13,90.5,1201.15,Month-to-month,Fiber optic
22,59.0,1254.7,Month-to-month,DSL
72,108.95,7875,Two year,Fiber optic
66,62.5,4136.4,Two year,DSL
5,94.45,498.1,Month-to-month,Fiber optic
72,114.05,8289.2,Two year,Fiber optic
7,48.7,340.25,Month-to-month,DSL
67,102.9,6989.7,Two year,Fiber optic
1,69.7,69.7,Month-to-month,Fiber optic
44,49.05,2265,One year,DSL
72,19.7,1421.9,Two year,No
57,95.3,5567.45,Month-to-month,Fiber optic
5,44.8,220.45,Month-to-month,DSL
4,20.15,91.4,Month-to-month,No
65,105.05,6744.25,One year,Fiber optic
19,95.9,1777.9,Month-to-month,Fiber optic
7,44.75,333.65,Month-to-month,DSL
48,19.85,916,Two year,No
19,73.2,1441.1,Month-to-month,Fiber optic
1,50.15,50.15,Month-to-month,DSL
19,50.1,910.45,Month-to-month,DSL
51,99.0,5038.15,Month-to-month,Fiber optic
12,89.75,1052.4,Month-to-month,Fiber optic
41,20.15,802.35,Two year,No
53,93.45,4872.2,One year,Fiber optic
1,44.9,44.9,Month-to-month,DSL
14,75.1,1013.35,Month-to-month,Fiber optic
70,88.55,6306.5,Two year,DSL
31,79.45,2587.7,One year,DSL
68,117.2,8035.95,One year,Fiber optic
49,84.5,4254.85,Month-to-month,Fiber optic
46,19.95,927.1,Two year,No
21,79.2,1742.45,One year,Fiber optic
72,78.45,5682.25,Two year,DSL
45,93.9,4200.25,Month-to-month,Fiber optic
68,105.3,7299.65,Month-to-month,Fiber optic
70,65.3,4759.75,Two year,DSL
23,99.95,2292.75,One year,Fiber optic
4,87.1,341.45,Month-to-month,Fiber optic
1,70.2,70.2,Month-to-month,Fiber optic
37,95.25,3314.15,Month-to-month,Fiber optic
37,101.9,3545.35,Month-to-month,Fiber optic
72,88.55,6362.35,Two year,DSL
44,54.0,2440.25,One year,DSL
30,64.5,1929.95,One year,DSL
54,105.2,5637.85,One year,Fiber optic
4,70.2,237.95,Month-to-month,Fiber optic
5,80.15,385,Month-to-month,Fiber optic
35,20.2,684.4,Two year,No
52,61.35,3169.55,Month-to-month,DSL
72,109.9,7624.2,Two year,Fiber optic
50,109.65,5405.8,Month-to-month,Fiber optic
16,19.35,295.55,One year,No
35,95.45,3474.05,Month-to-month,Fiber optic
71,86.4,6172,Two year,Fiber optic
59,110.15,6448.05,One year,Fiber optic
70,104.45,7349.35,Two year,Fiber optic
1,74.3,74.3,Month-to-month,Fiber optic
55,51.65,2838.55,Month-to-month,DSL
70,114.2,7723.9,Two year,Fiber optic
7,69.15,488.65,Month-to-month,Fiber optic
50,100.65,5189.75,One year,Fiber optic
64,20.2,1277.75,Two year,No
8,69.95,562.7,Month-to-month,Fiber optic
61,82.15,4904.85,Month-to-month,Fiber optic
1,69.65,69.65,Month-to-month,Fiber optic
23,49.45,1119.35,One year,DSL
11,66.35,740.8,Month-to-month,DSL
24,79.85,1857.75,Month-to-month,Fiber optic
33,20.6,690.25,One year,No
53,25.1,1275.6,Two year,No
23,20.9,454,Two year,No
14,86.3,1180.95,Month-to-month,Fiber optic
70,84.6,5706.2,Two year,Fiber optic
22,79.2,1742.75,Month-to-month,DSL
15,19.75,311.6,Month-to-month,No
65,107.65,7082.85,Two year,Fiber optic
72,85.45,6227.5,Two year,DSL
63,107.5,6873.75,One year,Fiber optic
5,69.05,318.5,Month-to-month,Fiber optic
35,113.2,3914.05,Two year,Fiber optic
11,74.95,825.7,Month-to-month,Fiber optic
5,45.7,198,Month-to-month,DSL
31,79.2,2497.2,Two year,DSL
1,51.25,51.25,Month-to-month,DSL
32,73.6,2316.85,Two year,DSL
11,61.25,729.95,One year,DSL
49,90.85,4515.85,Month-to-month,Fiber optic
67,88.4,5798.3,One year,Fiber optic
70,93.9,6579.05,Two year,Fiber optic
1,19.6,19.6,Month-to-month,No
9,21.25,204.55,Month-to-month,No
21,20.5,402.85,Month-to-month,No
28,20.25,535.35,Month-to-month,No
67,105.4,6989.45,One year,Fiber optic
15,87.75,1242.2,Month-to-month,Fiber optic
5,83.6,404.2,Month-to-month,Fiber optic
25,78.35,1837.9,Month-to-month,DSL
4,20.45,82.85,Month-to-month,No
7,70.75,450.8,Month-to-month,DSL
1,45.8,45.8,Month-to-month,DSL
58,19.85,1158.85,Two year,No
18,69.8,1221.65,Month-to-month,Fiber optic
60,89.45,5294.6,Month-to-month,Fiber optic
14,20.4,292.4,Two year,No
42,49.55,2077.95,Month-to-month,DSL
1,35.9,35.9,Month-to-month,DSL
64,49.85,3210.35,Two year,DSL
53,105.55,5682.25,Two year,Fiber optic
1,69.6,69.6,Month-to-month,Fiber optic
45,105.15,4730.9,Month-to-month,Fiber optic
30,105.7,3181.8,Month-to-month,Fiber optic
17,70.5,1165.6,Month-to-month,Fiber optic
31,73.9,2217.15,Month-to-month,Fiber optic
39,73.15,2730.85,Month-to-month,Fiber optic
59,96.65,5580.8,Month-to-month,Fiber optic
10,94.85,953.45,Month-to-month,Fiber optic
3,80.35,253.8,Month-to-month,Fiber optic
43,90.25,3838.75,Month-to-month,Fiber optic
3,84.3,235.05,Month-to-month,Fiber optic
21,104.4,2157.95,Month-to-month,Fiber optic
33,50.0,1750.85,Month-to-month,DSL
9,24.1,259.8,One year,DSL
2,60.85,111.4,Month-to-month,DSL
7,35.5,249.55,One year,DSL
5,25.05,125.5,Month-to-month,DSL
2,69.95,143.9,Month-to-month,Fiber optic
17,70.8,1207,Month-to-month,Fiber optic
60,101.4,6176.6,One year,Fiber optic
44,19.9,868.1,Two year,No
72,86.05,6309.65,Two year,DSL
69,92.45,6460.55,Two year,Fiber optic
2,44.65,74.9,Month-to-month,DSL
1,84.6,84.6,Month-to-month,Fiber optic
57,107.95,5969.85,Two year,Fiber optic
19,58.2,1045.25,One year,DSL
41,94.3,3893.6,Month-to-month,Fiber optic
67,111.2,7530.8,Two year,Fiber optic
5,88.9,454.15,Month-to-month,Fiber optic
15,83.05,1258.3,Month-to-month,Fiber optic
71,118.65,8477.6,Two year,Fiber optic
3,20.55,51.15,Month-to-month,No
71,24.7,1810.55,Two year,No
70,92.2,6474.45,Two year,DSL
4,42.4,146.4,Month-to-month,DSL
5,85.55,408.5,Month-to-month,Fiber optic
61,20.25,1278.8,Two year,No
3,26.4,121.25,Two year,No
3,44.3,134.5,Month-to-month,DSL
34,87.45,2874.15,Month-to-month,Fiber optic
71,105.7,7472.15,One year,Fiber optic
23,91.1,2198.3,Two year,DSL
36,19.55,620.75,One year,No
15,68.6,1108.6,Month-to-month,Fiber optic
11,55.05,608.15,Month-to-month,DSL
15,75.3,1147.45,Month-to-month,Fiber optic
62,43.6,2748.7,Two year,DSL
7,95.0,655.5,Month-to-month,Fiber optic
6,80.5,502.85,Month-to-month,Fiber optic
29,25.15,702,Month-to-month,No
72,89.7,6588.95,One year,Fiber optic
69,85.35,5897.4,Two year,DSL
15,101.35,1553.95,Month-to-month,Fiber optic
16,19.7,301.55,Two year,No
47,70.55,3309.25,Month-to-month,Fiber optic
48,69.7,3023.65,One year,DSL
72,68.75,4888.2,Two year,DSL
21,73.7,1558.7,Month-to-month,Fiber optic
72,110.15,7998.8,Two year,Fiber optic
7,69.7,516.15,Month-to-month,DSL
27,85.25,2287.25,Month-to-month,Fiber optic
4,74.65,301.4,Month-to-month,Fiber optic
4,46.0,193.6,Month-to-month,DSL
26,90.8,2361.8,Month-to-month,Fiber optic
42,79.9,3313.4,Month-to-month,Fiber optic
69,81.95,5601.4,Two year,DSL
49,20.45,1024.65,Two year,No
1,75.8,75.8,Month-to-month,Fiber optic
38,68.15,2656.3,Month-to-month,DSL
37,100.05,3810.55,Month-to-month,Fiber optic
14,81.95,1181.75,Two year,DSL
1,79.1,79.1,Month-to-month,Fiber optic
9,19.5,178.85,Month-to-month,No
24,51.15,1275.7,Month-to-month,DSL
8,55.75,446.8,Month-to-month,DSL
